section_order,section_id,section_title,question_order,question_id,question_title,question_type,required,choices_group,help_text,min_value,max_value,condition_question_id,condition_value,target_section_id,active
1,evaluator_info,SECTION 1 — Informations sur l'évaluateur,1,evaluation_date,Date de l'évaluation,DATE,TRUE,,,,,,,,TRUE
1,evaluator_info,SECTION 1 — Informations sur l'évaluateur,2,evaluator_name,Votre nom,TEXT,FALSE,,,,,,,,TRUE
1,evaluator_info,SECTION 1 — Informations sur l'évaluateur,3,role,Votre rôle / profession,MULTIPLE_CHOICE,TRUE,ROLE,,,,,,,TRUE
1,evaluator_info,SECTION 1 — Informations sur l'évaluateur,4,other_profession,Autre profession,TEXT,TRUE,,,,,role,Autre,role_other,TRUE
1,evaluator_info,SECTION 1 — Informations sur l'évaluateur,5,device,Comment avez-vous accédé à l'application ?,MULTIPLE_CHOICE,TRUE,DEVICE,,,,,,,TRUE
1,evaluator_info,SECTION 1 — Informations sur l'évaluateur,6,first_usage,Est-ce votre première utilisation de l'application ?,MULTIPLE_CHOICE,TRUE,FIRST_USAGE,,,,,,,TRUE
1,evaluator_info,SECTION 1 — Informations sur l'évaluateur,7,previous_usage_count,Combien de fois l'avez-vous utilisée auparavant ?,MULTIPLE_CHOICE,FALSE,PREVIOUS_USAGE_COUNT,,,,first_usage,Non,previous_usage,TRUE
2,interface,SECTION 2 — Première impression et interface,1,interface_attractive,L'interface est attrayante et bien conçue,MULTIPLE_CHOICE,TRUE,LIKERT_5,,,,,,,TRUE
2,interface,SECTION 2 — Première impression et interface,2,easy_navigation,L'application est facile à naviguer,MULTIPLE_CHOICE,TRUE,LIKERT_5,,,,,,,TRUE
2,interface,SECTION 2 — Première impression et interface,3,clear_labels,Les menus et les boutons sont clairement libellés,MULTIPLE_CHOICE,TRUE,LIKERT_5,,,,,,,TRUE
2,interface,SECTION 2 — Première impression et interface,4,loading_speed,L'application se charge rapidement,MULTIPLE_CHOICE,TRUE,LIKERT_5,,,,,,,TRUE
2,interface,SECTION 2 — Première impression et interface,5,device_compatibility,L'application fonctionne bien sur mon appareil,MULTIPLE_CHOICE,TRUE,LIKERT_5,,,,,,,TRUE
3,features,SECTION 3 — Fonctionnalités et performances,1,features_tested,Quelles fonctionnalités avez-vous testées ?,CHECKBOX,TRUE,FEATURES_TESTED,,,,,,,TRUE
3,features,SECTION 3 — Fonctionnalités et performances,2,needs_fit,Les fonctionnalités répondent à mes besoins,MULTIPLE_CHOICE,TRUE,LIKERT_5,,,,,,,TRUE
3,features,SECTION 3 — Fonctionnalités et performances,3,features_ease,Les fonctionnalités sont faciles à utiliser,MULTIPLE_CHOICE,TRUE,LIKERT_5,,,,,,,TRUE
3,features,SECTION 3 — Fonctionnalités et performances,4,result_accuracy,Les résultats fournis sont précis,MULTIPLE_CHOICE,TRUE,LIKERT_5,,,,,,,TRUE
3,features,SECTION 3 — Fonctionnalités et performances,5,task_efficiency,L'application m'aide à accomplir mes tâches efficacement,MULTIPLE_CHOICE,TRUE,LIKERT_5,,,,,,,TRUE
3,features,SECTION 3 — Fonctionnalités et performances,6,instructions_clarity,Les instructions et l'aide sont claires et utiles,MULTIPLE_CHOICE,TRUE,LIKERT_5,,,,,,,TRUE
4,problems,SECTION 4 — Problèmes rencontrés,1,problem_yes_no,Avez-vous rencontré des problèmes ou des erreurs ?,MULTIPLE_CHOICE,TRUE,PROBLEM_YES_NO,,,,,,,TRUE
4,problems,SECTION 4 — Problèmes rencontrés,2,problem_types,Quel(s) type(s) de problème(s) ?,CHECKBOX,FALSE,PROBLEM_TYPES,,,,problem_yes_no,Oui,problem_details,TRUE
4,problems,SECTION 4 — Problèmes rencontrés,3,problem_description,Veuillez décrire le(s) problème(s) en détail,PARAGRAPH,FALSE,,,,,problem_yes_no,Oui,problem_details,TRUE
5,satisfaction,SECTION 5 — Satisfaction globale,1,rating,Note globale de l'application,TEXT,TRUE,,Entrez un entier compris entre 0 et 10.,0,10,,,,TRUE
5,satisfaction,SECTION 5 — Satisfaction globale,2,recommendation,Recommanderiez-vous cette application ?,MULTIPLE_CHOICE,TRUE,RECOMMENDATION,,,,,,,TRUE
5,satisfaction,SECTION 5 — Satisfaction globale,3,reuse,Utiliseriez-vous cette application à nouveau ?,MULTIPLE_CHOICE,TRUE,REUSE,,,,,,,TRUE
6,improvements,SECTION 6 — Suggestions d'amélioration,1,strengths,Quels sont les principaux points forts de cette application ?,PARAGRAPH,TRUE,,,,,,,,TRUE
6,improvements,SECTION 6 — Suggestions d'amélioration,2,improvements,Qu'est-ce qui pourrait être amélioré ?,PARAGRAPH,TRUE,,,,,,,,TRUE
6,improvements,SECTION 6 — Suggestions d'amélioration,3,missing_features,Quelles fonctionnalités manquantes aimeriez-vous voir ajoutées ?,PARAGRAPH,FALSE,,,,,,,,TRUE
6,improvements,SECTION 6 — Suggestions d'amélioration,4,additional_comments,Commentaires ou suggestions supplémentaires,PARAGRAPH,FALSE,,,,,,,,TRUE
